time,input,output
2007.0,0.0,0.0
2012.0,0.0,0.0
2017.0,0.0,0.0
2022.0,0.0,0.0
2027.0,0.0,0.0
2032.0,0.0,0.0
2037.0,0.0,0.0
2043.0,0.0,0.0
2049.0,0.0,0.0
2054.0,0.0,0.0
2060.0,0.0,0.0
2065.0,0.0,0.0
2071.0,0.0,0.0
2077.0,0.0,0.0
2083.0,0.0,0.0
2089.0,0.0,0.0
2095.0,0.0,0.0
2100.0,0.0,0.0
2106.0,0.0,0.0
2112.0,0.0,0.0
2117.0,0.0,0.0
2123.0,0.0,0.0
2128.0,0.0,0.0
2133.0,0.0,0.0
2139.0,0.0,0.0
2144.0,0.0,0.0
2149.0,0.0,0.0
2154.0,0.0,0.0
2160.0,0.0,0.0
2165.0,0.0,0.0
2170.0,0.0,0.0
2175.0,0.0,0.0
2181.0,0.0,0.0
2186.0,0.0,0.0
2191.0,0.0,0.0
2196.0,0.0,0.0
2202.0,0.0,0.0
2207.0,0.0,0.0
2212.0,0.0,0.0
2217.0,0.0,0.0
2223.0,0.0,0.0
2229.0,0.0,0.0
2234.0,0.0,0.0
2239.0,0.0,0.0
2244.0,0.0,0.0
2250.0,0.0,0.0
2255.0,0.0,0.0
2260.0,0.0,0.0
2265.0,0.0,0.0
2271.0,0.0,0.0
2276.0,0.0,0.0
2281.0,0.0,0.0
2286.0,0.0,0.0
2292.0,0.0,0.0
2297.0,0.0,0.0
2302.0,0.0,0.0
2308.0,0.0,0.0
2314.0,0.0,0.0
2320.0,0.0,0.0
2325.0,0.0,0.0
2330.0,0.0,0.0
2335.0,0.0,0.0
2340.0,0.0,0.0
2345.0,0.0,0.0
2350.0,0.0,0.0
2356.0,0.0,0.0
2362.0,0.0,0.0
2368.0,0.0,0.0
2373.0,0.0,0.0
2378.0,0.0,0.0
2383.0,0.0,0.0
2389.0,0.0,0.0
2394.0,0.0,0.0
2399.0,0.0,0.0
2404.0,0.0,0.0
2410.0,0.0,0.0
2415.0,0.0,0.0
2420.0,0.0,0.0
2426.0,0.0,0.0
2431.0,0.0,0.0
2436.0,0.0,0.0
2441.0,0.0,0.0
2447.0,0.0,0.0
2452.0,0.0,0.0
2457.0,0.0,0.0
2462.0,0.0,0.0
2467.0,0.0,0.0
2473.0,0.0,0.0
2479.0,0.0,0.0
2484.0,0.0,0.0
2489.0,0.0,0.0
2494.0,0.0,0.0
2500.0,0.0,0.0
2505.0,0.0,0.0
2510.0,0.0,0.0
2515.0,0.0,0.0
2521.0,0.0,0.0
2526.0,0.0,0.0
2531.0,0.0,0.0
2537.0,0.0,0.0
2542.0,0.0,0.0
2547.0,0.0,0.0
2552.0,0.0,0.0
2557.0,0.0,0.0
2563.0,0.0,0.0
2568.0,0.0,0.0
2573.0,0.0,0.0
2578.0,0.0,0.0
2584.0,0.0,0.0
2590.0,0.0,0.0
2595.0,0.0,0.0
2600.0,0.0,0.0
2605.0,0.0,0.0
2611.0,0.0,0.0
2616.0,0.0,0.0
2621.0,0.0,0.0
2626.0,0.0,0.0
2632.0,0.0,0.0
2637.0,0.0,0.0
2642.0,0.0,0.0
2647.0,0.0,0.0
2653.0,0.0,0.0
2658.0,0.0,0.0
2663.0,0.0,0.0
2669.0,0.0,0.0
2674.0,0.0,0.0
2680.0,0.0,0.0
2685.0,0.0,0.0
2690.0,0.0,0.0
2695.0,0.0,0.0
2700.0,0.0,0.0
2705.0,0.0,0.0
2710.0,0.0,0.0
2716.0,0.0,0.0
2721.0,0.0,0.0
2726.0,0.0,0.0
2731.0,0.0,0.0
2736.0,0.0,0.0
2741.0,0.0,0.0
2746.0,0.0,0.0
2751.0,0.0,0.0
2757.0,0.0,0.0
2762.0,0.0,0.0
2767.0,0.0,0.0
2772.0,0.0,0.0
2778.0,0.0,0.0
2783.0,0.0,0.0
2788.0,0.0,0.0
2793.0,0.0,0.0
2799.0,0.0,0.0
2804.0,0.0,0.0
2810.0,0.0,0.0
2815.0,0.0,0.0
2820.0,0.0,0.0
2825.0,0.0,0.0
2830.0,0.0,0.0
2835.0,0.0,0.0
2841.0,0.0,0.0
2847.0,0.0,0.0
2852.0,0.0,0.0
2857.0,0.0,0.0
2862.0,0.0,0.0
2867.0,0.0,0.0
2872.0,0.0,0.0
2878.0,0.0,0.0
2883.0,0.0,0.0
2889.0,0.0,0.0
2894.0,0.0,0.0
2899.0,0.0,0.0
2905.0,0.0,0.0
2910.0,0.0,0.0
2915.0,0.0,0.0
2920.0,0.0,0.0
2925.0,0.0,0.0
2931.0,0.0,0.0
2936.0,0.0,0.0
2941.0,0.0,0.0
2947.0,0.0,0.0
2952.0,0.0,0.0
2957.0,0.0,0.0
2962.0,0.0,0.0
2968.0,0.0,0.0
2973.0,0.0,0.0
2979.0,0.0,0.0
2984.0,0.0,0.0
2989.0,0.0,0.0
2994.0,0.0,0.0
3000.0,0.0,0.0
3005.0,0.0,0.0
3010.0,0.0,0.0
3015.0,0.0,0.0
3021.0,0.0,0.0
3026.0,0.0,0.0
3031.0,0.0,0.0
3036.0,0.0,0.0
3041.0,0.0,0.0
3046.0,0.0,0.0
3052.0,0.0,0.0
3057.0,0.0,0.0
3063.0,0.0,0.0
3068.0,0.0,0.0
3073.0,0.0,0.0
3078.0,0.0,0.0
3084.0,0.0,0.0
3090.0,0.0,0.0
3095.0,0.0,0.0
3100.0,0.0,0.0
3105.0,0.0,0.0
3111.0,0.0,0.0
3116.0,0.0,0.0
3121.0,0.0,0.0
3126.0,0.0,0.0
3132.0,0.0,0.0
3137.0,0.0,0.0
3142.0,0.0,0.0
3147.0,0.0,0.0
3153.0,0.0,0.0
3158.0,0.0,0.0
3163.0,0.0,0.0
3169.0,0.0,0.0
3174.0,0.0,0.0
3179.0,0.0,0.0
3184.0,0.0,0.0
3189.0,0.0,0.0
3195.0,0.0,0.0
3201.0,0.0,0.0
3206.0,0.0,0.0
3211.0,0.0,0.0
3216.0,0.0,0.0
3221.0,0.0,0.0
3226.0,0.0,0.0
3232.0,0.0,0.0
3237.0,0.0,0.0
3243.0,0.0,0.0
3248.0,0.0,0.0
3253.0,0.0,0.0
3258.0,0.0,0.0
3263.0,0.0,0.0
3268.0,0.0,0.0
3274.0,0.0,0.0
3279.0,0.0,0.0
3285.0,0.0,0.0
3290.0,0.0,0.0
3295.0,0.0,0.0
3301.0,0.0,0.0
3306.0,0.0,0.0
3311.0,0.0,0.0
3316.0,0.0,0.0
3322.0,0.0,0.0
3327.0,0.0,0.0
3332.0,0.0,0.0
3337.0,0.0,0.0
3343.0,0.0,0.0
3348.0,0.0,0.0
3354.0,0.0,0.0
3359.0,0.0,0.0
3364.0,0.0,0.0
3369.0,0.0,0.0
3375.0,0.0,0.0
3380.0,0.0,0.0
3386.0,0.0,0.0
3392.0,0.0,0.0
3398.0,0.0,0.0
3403.0,0.0,0.0
3408.0,0.0,0.0
3413.0,0.0,0.0
3419.0,0.0,0.0
3424.0,0.0,0.0
3429.0,0.0,0.0
3434.0,0.0,0.0
3440.0,0.0,0.0
3445.0,0.0,0.0
3450.0,0.0,0.0
3455.0,0.0,0.0
3461.0,0.0,0.0
3467.0,0.0,0.0
3472.0,0.0,0.0
3477.0,0.0,0.0
3482.0,0.0,0.0
3487.0,0.0,0.0
3492.0,0.0,0.0
3497.0,0.0,0.0
3503.0,0.0,0.0
3508.0,0.0,0.0
3513.0,0.0,0.0
3518.0,0.0,0.0
3523.0,0.0,0.0
3528.0,0.0,0.0
3533.0,0.0,0.0
3539.0,0.0,0.0
3544.0,0.0,0.0
3549.0,0.0,0.0
3554.0,0.0,0.0
3559.0,0.0,0.0
3564.0,0.0,0.0
3570.0,0.0,0.0
3575.0,0.0,0.0
3580.0,0.0,0.0
3585.0,0.0,0.0
3591.0,0.0,0.0
3597.0,0.0,0.0
3602.0,0.0,0.0
3607.0,0.0,0.0
3612.0,0.0,0.0
3618.0,0.0,0.0
3623.0,0.0,0.0
3628.0,0.0,0.0
3634.0,0.0,0.0
3640.0,0.0,0.0
3645.0,0.0,0.0
3650.0,0.0,0.0
3655.0,0.0,0.0
3661.0,0.0,0.0
3666.0,0.0,0.0
3671.0,0.0,0.0
3677.0,0.0,0.0
3683.0,0.0,0.0
3689.0,0.0,0.0
3694.0,0.0,0.0
3699.0,0.0,0.0
3704.0,0.0,0.0
3710.0,0.0,0.0
3715.0,0.0,0.0
3720.0,0.0,0.0
3725.0,0.0,0.0
3731.0,0.0,0.0
3737.0,0.0,0.0
3742.0,0.0,0.0
3747.0,0.0,0.0
3752.0,0.0,0.0
3757.0,0.0,0.0
3762.0,0.0,0.0
3767.0,0.0,0.0
3773.0,0.0,0.0
3778.0,0.0,0.0
3783.0,0.0,0.0
3789.0,0.0,0.0
3795.0,0.0,0.0
3800.0,0.0,0.0
3806.0,0.0,0.0
3811.0,0.0,0.0
3816.0,0.0,0.0
3822.0,0.0,0.0
3827.0,0.0,0.0
3832.0,0.0,0.0
3837.0,0.0,0.0
3843.0,0.0,0.0
3848.0,0.0,0.0
3854.0,0.0,0.0
3859.0,0.0,0.0
3864.0,0.0,0.0
3869.0,0.0,0.0
3874.0,0.0,0.0
3879.0,0.0,0.0
3885.0,0.0,0.0
3890.0,0.0,0.0
3896.0,0.0,0.0
3901.0,0.0,0.0
3906.0,0.0,0.0
3912.0,0.0,0.0
3917.0,0.0,0.0
3922.0,0.0,0.0
3927.0,0.0,0.0
3932.0,0.0,0.0
3937.0,0.0,0.0
3942.0,0.0,0.0
3947.0,0.0,0.0
3952.0,0.0,0.0
3957.0,0.0,0.0
3962.0,0.0,0.0
3968.0,0.0,0.0
