time,input,output
1.0,667.0,400.0
2.0,670.0,401.5
3.0,673.0,403.875
4.0,674.0,406.65625
5.0,675.0,409.7421875
6.0,673.0,413.056640625
7.0,675.0,416.29248046875
8.0,674.0,418.9693603515625
9.0,674.0,422.2270202636719
10.0,676.0,425.9202651977539
11.0,677.0,429.19019889831543
12.0,676.0,432.3926491737366
13.0,675.0,435.79448688030243
14.0,677.0,439.0958651602268
15.0,676.0,442.0718988701701
16.0,676.0,445.3039241526276
17.0,677.0,448.4779431144707
18.0,677.0,451.358457335853
19.0,674.0,454.01884300188976
20.0,676.0,457.0141322514173
21.0,675.0,459.760599188563
22.0,676.0,462.82044939142224
23.0,677.0,465.3653370435667
24.0,677.0,468.274002782675
25.0,676.0,470.95550208700627
26.0,677.0,473.4666265652547
27.0,677.0,475.84996992394105
28.0,676.0,478.3874774429558
29.0,676.0,481.04060808221686
30.0,676.0,483.5304560616627
31.0,676.0,486.147842046247
32.0,677.0,488.36088153468523
33.0,677.0,490.77066115101394
34.0,677.0,493.32799586326047
35.0,677.0,495.49599689744537
36.0,678.0,497.621997673084
37.0,675.0,500.216498254813
38.0,678.0,502.9123736911098
39.0,676.0,504.9342802683324
40.0,676.0,506.9507102012493
41.0,678.0,508.96303265093695
42.0,678.0,511.22227448820274
43.0,675.0,513.416705866152
44.0,678.0,515.312529399614
45.0,677.0,517.7343970497105
46.0,676.0,519.8007977872829
47.0,677.0,522.1005983404622
48.0,677.0,523.8254487553467
49.0,676.0,525.61908656651
50.0,678.0,527.4643149248825
51.0,675.0,529.3482361936619
52.0,677.0,531.2611771452464
53.0,676.0,532.9458828589347
54.0,676.0,534.709412144201
55.0,676.0,536.5320591081507
56.0,679.0,538.399044331113
57.0,676.0,540.0492832483347
58.0,676.0,541.7869624362511
59.0,679.0,543.5902218271883
60.0,678.0,545.1926663703912
61.0,677.0,546.8944997777934
62.0,678.0,548.420874833345
63.0,677.0,550.0656561250088
64.0,676.0,551.7992420937566
65.0,678.0,553.0994315703174
66.0,678.0,554.824573677738
67.0,675.0,556.3684302583035
68.0,677.0,558.0263226937277
69.0,677.0,559.7697420202958
70.0,677.0,561.3273065152218
71.0,677.0,562.9954798864164
72.0,677.0,564.2466099148123
73.0,679.0,565.6849574361092
74.0,677.0,567.0137180770819
75.0,675.0,568.2602885578115
76.0,678.0,569.6952164183585
77.0,677.0,571.0214123137689
78.0,677.0,572.2660592353267
79.0,676.0,573.699544426495
80.0,676.0,575.0246583198713
81.0,677.0,576.0184937399034
82.0,675.0,577.5138703049275
83.0,676.0,578.8854027286957
84.0,677.0,579.9140520465218
85.0,678.0,581.1855390348913
86.0,675.0,582.3891542761685
87.0,676.0,583.5418657071264
88.0,676.0,584.6563992803448
89.0,676.0,585.7422994602586
90.0,678.0,587.0567245951939
91.0,678.0,588.2925434463955
92.0,676.0,589.4694075847966
93.0,677.0,590.6020556885975
94.0,678.0,591.4515417664481
95.0,677.0,592.5886563248362
96.0,677.0,593.4414922436272
97.0,677.0,594.5811191827204
98.0,677.0,595.6858393870402
99.0,679.0,596.7643795402802
100.0,676.0,597.5732846552102
101.0,676.0,598.1799634914076
102.0,677.0,599.1349726185557
103.0,677.0,600.3512294639168
104.0,677.0,601.0134220979376
105.0,677.0,602.0100665734532
106.0,676.0,603.0075499300899
107.0,675.0,603.5056624475674
108.0,676.0,604.3792468356755
109.0,677.0,605.5344351267566
110.0,676.0,606.1508263450675
111.0,676.0,607.1131197588006
112.0,674.0,608.0848398191005
113.0,677.0,608.8136298643253
114.0,676.0,609.860222398244
115.0,675.0,611.145166798683
116.0,676.0,611.6088750990123
117.0,677.0,612.4566563242593
118.0,675.0,613.3424922431944
119.0,676.0,613.7568691823958
120.0,678.0,614.5676518867969
121.0,677.0,615.4257389150977
122.0,676.0,616.0693041863233
123.0,678.0,617.0519781397425
124.0,677.0,618.0389836048068
125.0,677.0,618.0292377036051
126.0,676.0,619.0219282777039
127.0,675.0,619.7664462082779
128.0,677.0,620.0748346562084
129.0,676.0,620.5561259921562
130.0,678.0,621.1670944941172
131.0,677.0,622.125320870588
132.0,678.0,622.593990652941
133.0,677.0,623.1954929897057
134.0,677.0,624.3966197422793
135.0,677.0,624.7974648067095
136.0,675.0,625.0980986050322
137.0,677.0,626.0735739537741
138.0,676.0,626.5551804653306
139.0,677.0,626.916385348998
140.0,678.0,627.9372890117485
141.0,677.0,628.2029667588114
142.0,675.0,628.6522250691086
143.0,677.0,629.7391688018314
144.0,675.0,629.5543766013735
145.0,676.0,630.1657824510302
146.0,676.0,630.8743368382726
147.0,679.0,631.1557526287045
148.0,678.0,631.6168144715284
149.0,676.0,632.7126108536463
150.0,676.0,633.0344581402347
151.0,676.0,633.5258436051761
152.0,677.0,634.394382703882
153.0,679.0,634.5457870279115
154.0,677.0,634.9093402709336
155.0,678.0,635.4320052032002
156.0,678.0,635.8240039024001
157.0,678.0,636.1180029268
158.0,677.0,637.0885021951001
159.0,677.0,637.5663766463251
160.0,676.0,637.9247824847439
161.0,674.0,638.6935868635579
162.0,676.0,638.7701901476685
163.0,673.0,639.3276426107514
164.0,676.0,640.4957319580635
165.0,676.0,640.6217989685476
166.0,675.0,640.7163492264108
167.0,674.0,641.5372619198081
168.0,677.0,641.6529464398561
169.0,674.0,641.739709829892
170.0,677.0,642.554782372419
171.0,673.0,642.9160867793142
172.0,677.0,642.6870650844857
173.0,676.0,643.5152988133642
174.0,678.0,643.6364741100232
175.0,676.0,643.9773555825174
176.0,678.0,644.733016686888
177.0,675.0,645.0497625151661
178.0,678.0,645.0373218863746
179.0,677.0,645.7779914147809
180.0,676.0,646.0834935610857
181.0,677.0,646.0626201708143
182.0,676.0,646.7969651281107
183.0,676.0,646.847723846083
184.0,676.0,647.1357928845623
185.0,678.0,648.1018446634217
186.0,678.0,648.3263834975663
187.0,676.0,648.4947876231747
188.0,676.0,649.3710907173811
189.0,676.0,649.5283180380359
190.0,677.0,649.396238528527
191.0,675.0,650.2971788963953
192.0,677.0,650.4728841722965
193.0,676.0,650.8546631292224
194.0,677.0,651.1409973469168
195.0,676.0,651.1057480101877
196.0,676.0,651.0793110076407
197.0,678.0,651.8094832557306
198.0,677.0,652.1071124417979
199.0,677.0,652.0803343313485
200.0,1360.0,652.8102507485114
201.0,1362.0,655.6076880613836
202.0,1363.0,659.7057660460376
203.0,1362.0,665.2793245345282
204.0,1361.0,671.9594934008961
205.0,1363.0,678.9696200506721
206.0,1362.0,686.477215038004
207.0,1364.0,694.107911278503
208.0,1363.0,701.5809334588773
209.0,1363.0,709.9357000941579
210.0,1362.0,718.2017750706184
211.0,1366.0,725.9013313029639
212.0,1362.0,733.925998477223
213.0,1361.0,742.1944988579172
214.0,1361.0,749.8958741434379
215.0,1363.0,757.6719056075784
216.0,1362.0,765.5039292056838
217.0,1363.0,773.1279469042629
218.0,1363.0,780.8459601781972
219.0,1361.0,788.3844701336479
220.0,1363.0,795.538352600236
221.0,1362.0,802.9037644501769
222.0,1363.0,810.4278233376327
223.0,1363.0,817.0708675032246
224.0,1364.0,824.0531506274184
225.0,1364.0,831.2898629705638
226.0,1363.0,837.7173972279229
227.0,1359.0,844.7880479209422
228.0,1364.0,851.5910359407067
229.0,1364.0,857.69327695553
230.0,1361.0,864.5199577166475
