time,input,output
1.0,666.0,991.0
2.0,670.0,959.0
3.0,673.0,958.0
4.0,675.0,940.0
5.0,677.0,920.0
6.0,674.0,937.0
7.0,679.0,918.25
8.0,675.0,926.6875
9.0,675.0,916.015625
10.0,679.0,901.51171875
11.0,678.0,922.3837890625
12.0,677.0,906.037841796875
13.0,680.0,916.5283813476562
14.0,679.0,908.1462860107422
15.0,678.0,895.3597145080566
16.0,679.0,917.7697858810425
17.0,678.0,902.3273394107819
18.0,676.0,912.9955045580864
19.0,679.0,904.2466284185648
20.0,677.0,892.1849713139236
21.0,678.0,914.1387284854427
22.0,678.0,898.604046364082
23.0,678.0,910.7030347730615
24.0,677.0,902.2772760797961
25.0,678.0,889.2079570598471
26.0,678.0,911.6559677948853
27.0,680.0,896.491975846164
28.0,680.0,907.368981884623
29.0,680.0,899.2767364134672
30.0,677.0,884.9575523101005
31.0,679.0,908.2181642325754
32.0,678.0,893.6636231744316
33.0,677.0,905.2477173808237
34.0,678.0,896.9357880356177
35.0,679.0,884.2018410267133
36.0,677.0,906.651380770035
37.0,679.0,891.2385355775262
38.0,679.0,902.9289016831447
39.0,679.0,894.6966762623586
40.0,681.0,882.0225071967689
41.0,678.0,904.5168803975766
42.0,679.0,889.1376602981825
43.0,680.0,900.6032452236368
44.0,677.0,892.4524339177276
45.0,679.0,878.3393254382956
46.0,679.0,901.5044940787218
47.0,678.0,886.6283705590413
48.0,677.0,898.471277919281
49.0,680.0,889.8534584394607
50.0,677.0,876.3900938295956
51.0,679.0,899.7925703721967
52.0,679.0,884.3444277791475
53.0,675.0,896.5083208343606
54.0,680.0,888.6312406257705
55.0,681.0,874.9734304693279
56.0,679.0,898.9800728519959
57.0,680.0,883.985054638997
58.0,679.0,895.2387909792477
59.0,679.0,887.4290932344358
60.0,678.0,872.5718199258268
61.0,678.0,896.1788649443702
62.0,679.0,881.3841487082776
63.0,680.0,893.2881115312082
64.0,679.0,885.4660836484061
65.0,677.0,871.3495627363045
66.0,678.0,895.2621720522284
67.0,680.0,880.1966290391713
68.0,677.0,892.1474717793785
69.0,680.0,884.6106038345339
70.0,679.0,870.2079528759004
71.0,678.0,893.6559646569253
72.0,678.0,878.741973492694
73.0,679.0,889.8064801195205
74.0,679.0,882.6048600896404
75.0,679.0,868.9536450672304
76.0,678.0,892.9652338004228
77.0,678.0,877.4739253503171
78.0,677.0,888.8554440127378
79.0,682.0,881.1415830095534
80.0,679.0,866.6061872571651
81.0,678.0,890.9546404428738
82.0,678.0,876.2159803321554
83.0,679.0,888.1619852491165
84.0,678.0,880.6214889368373
85.0,679.0,866.2161167026279
86.0,679.0,890.6620875269709
87.0,678.0,875.7465656452282
88.0,679.0,887.0599242339212
89.0,679.0,879.0449431754408
90.0,677.0,864.7837073815806
91.0,680.0,888.8377805361854
92.0,679.0,874.1283354021391
93.0,680.0,885.3462515516044
94.0,678.0,877.5096886637033
95.0,679.0,862.1322664977774
96.0,678.0,886.3491998733331
97.0,679.0,872.0118999049998
98.0,678.0,883.2589249287498
99.0,678.0,876.1941936965624
100.0,681.0,861.6456452724218
101.0,679.0,885.4842339543163
102.0,679.0,870.3631754657372
103.0,678.0,881.2723815993029
104.0,680.0,873.4542861994771
105.0,679.0,858.5907146496079
106.0,678.0,882.9430359872059
107.0,677.0,867.9572769904045
108.0,680.0,879.2179577428034
109.0,679.0,871.9134683071026
110.0,679.0,856.935101230327
111.0,677.0,881.4513259227452
112.0,678.0,866.588494442059
113.0,679.0,877.9413708315442
114.0,678.0,870.9560281236581
115.0,679.0,855.7170210927436
116.0,679.0,880.5377658195578
117.0,679.0,865.9033243646684
118.0,678.0,876.9274932735013
119.0,679.0,868.695619955126
120.0,677.0,852.5217149663445
121.0,678.0,877.1412862247583
122.0,678.0,862.6059646685687
123.0,678.0,874.4544735014265
124.0,678.0,867.3408551260699
125.0,680.0,852.0056413445524
126.0,680.0,877.2542310084143
127.0,680.0,862.9406732563107
128.0,679.0,874.455504942233
129.0,678.0,867.3416287066748
130.0,678.0,852.2562215300061
131.0,681.0,877.9421661475046
132.0,678.0,863.2066246106285
133.0,679.0,874.6549684579713
134.0,680.0,867.4912263434785
135.0,680.0,851.8684197576089
136.0,679.0,877.1513148182066
137.0,679.0,862.363486113655
138.0,678.0,873.2726145852412
139.0,678.0,865.7044609389309
140.0,677.0,850.0283457041982
141.0,678.0,875.0212592781486
142.0,679.0,861.0159444586114
143.0,678.0,872.0119583439586
144.0,680.0,864.2589687579689
145.0,679.0,848.9442265684767
146.0,679.0,874.4581699263575
147.0,679.0,860.0936274447681
148.0,679.0,871.0702205835761
149.0,680.0,864.0526654376821
150.0,679.0,848.5394990782615
151.0,678.0,873.6546243086962
152.0,679.0,858.9909682315222
153.0,679.0,869.9932261736417
154.0,680.0,862.9949196302313
155.0,679.0,846.7461897226734
156.0,679.0,872.059642292005
157.0,679.0,857.7947317190037
158.0,679.0,869.0960487892528
159.0,679.0,861.8220365919396
160.0,678.0,845.8665274439547
161.0,679.0,871.1498955829661
162.0,678.0,855.8624216872246
163.0,677.0,866.6468162654185
164.0,678.0,859.7351121990639
165.0,680.0,842.3013341492979
166.0,680.0,868.4760006119734
167.0,677.0,854.1070004589801
168.0,680.0,865.3302503442351
169.0,679.0,858.2476877581763
170.0,677.0,841.9357658186323
171.0,677.0,868.4518243639742
172.0,680.0,854.0888682729807
173.0,679.0,864.5666512047355
174.0,679.0,856.9249884035517
175.0,679.0,840.1937413026637
176.0,679.0,866.3953059769979
177.0,678.0,852.5464794827484
178.0,679.0,864.1598596120613
179.0,678.0,856.869894709046
180.0,679.0,840.9024210317845
181.0,678.0,866.6768157738384
182.0,679.0,851.7576118303788
183.0,678.0,863.5682088727841
184.0,677.0,856.1761566545881
185.0,677.0,840.382117490941
186.0,677.0,866.0365881182058
187.0,678.0,851.7774410886543
188.0,678.0,862.5830808164908
189.0,679.0,855.437310612368
190.0,678.0,838.577982959276
191.0,678.0,864.933487219457
